ufb,usefulness,experience,numofrv,lenrv,dup,score
9,0.818181818,698,2,897.5,1,3
11,1,0,1,828,0,3
1,1,0,1,759,0,3
25,0.694444444,598,7,700.8571429,1,3
7,0.291666667,20,3,606,1,3
26,0.838709677,0,2,779.5,1,4
65,0.866666667,715,9,1735.222222,1,4
6,0.75,0,1,45,0,4
30,0.833333333,777,4,965.5,1,4
7,0.875,0,1,711,0,4
24,0.452830189,1431,8,330.75,1,4
2,0.666666667,230,2,171.5,1,4
7,1,41,6,343.3333333,1,4
77,0.747572816,2968,22,1140.727273,1,4
9,0.75,0,1,1921,0,4
20,0.384615385,1229,9,544,1,4
0,0,0,1,432,0,4
9,0.36,0,1,545,0,4
1,0.5,2199,2,656.5,1,4
54,0.613636364,1262,5,1021.6,1,4
3,1,307,2,581.5,1,4
57,0.626373626,0,1,574,0,4
5,0.833333333,416,3,729.6666667,1,4
77,0.865168539,1277,9,849.1111111,1,4
4,0.444444444,0,3,174,1,4
9,0.6,0,1,579,0,4
0,0,0,1,1134,0,4
3,0.75,0,1,565,0,4
31,0.837837838,0,1,1634,0,4
0,0,0,1,1658,0,4
16,0.8,1020,4,731,1,4
23,1,0,1,735,0,4
2,0.666666667,48,2,846,1,4
3,1,0,1,702,0,4
8,0.5,85,2,586,1,4
3,1,344,2,754,1,4
14,0.933333333,0,1,252,0,4
20,0.833333333,0,1,1269,0,4
9,0.5625,457,2,297,1,4
27,0.692307692,221,6,2675.166667,1,4
11,0.523809524,0,1,947,0,4
1,0.5,0,1,270,0,4
5,1,0,1,1072,0,4
0,0,0,1,816,0,4
25,0.925925926,0,1,575,0,4
13,0.448275862,1193,3,4494.666667,1,4
2,1,0,1,173,0,4
15,0.714285714,234,3,736.3333333,1,4
2,0.333333333,0,1,399,0,4
7,0.875,0,1,571,0,4
2,1,0,1,421,0,4
18,0.818181818,649,9,443.5,1,4
15,0.555555556,1161,4,394.25,1,4
2,1,0,1,406,0,4
157,0.907514451,410,9,1426,1,4
29,0.90625,89,10,744.9,1,4
0,0,0,1,1436,0,4
59,0.333333333,352,9,2826.888889,1,4
2,0.5,0,1,392,0,4
1,1,0,1,853,0,4
3,0.6,15,2,359,1,4
2,1,0,1,344,0,4
2,0.105263158,0,1,222,0,4
53,0.868852459,0,1,3410,0,4
35,0.921052632,0,1,1311,0,4
2,1,0,1,562,0,4
3,0.5,0,1,361,0,4
5,1,0,1,1960,0,4
1,0.111111111,0,1,667,0,4
5,0.833333333,0,1,257,0,4
3,0.5,88,3,503.3333333,1,4
4,1,0,1,409,0,4
102,0.990291262,2210,5,751,1,4
1,1,0,1,451,0,4
242,0.317585302,416,14,1406.285714,1,4
29,0.966666667,0,1,548,0,4
6,0.272727273,0,1,701,0,4
12,0.230769231,442,3,214.3333333,1,4
2,0.666666667,0,1,372,0,4
8,1,0,1,401,0,4
26,0.8125,0,1,800,0,4
5,0.714285714,0,1,178,0,5
177,0.898477157,2784,16,1211.9375,1,5
38,0.558823529,1876,9,344.6666667,1,5
5,0.555555556,0,1,125,0,5
3,0.75,0,1,305,0,5
4,0.444444444,0,1,681,0,5
49,0.662162162,0,1,475,0,5
2,1,0,1,291,0,5
1,0.052631579,284,2,204,1,5
5,0.454545455,0,1,439,0,5
1,0.5,0,1,1003,0,5
9,0.9,205,3,1048,1,5
18,0.225,141,5,1542.4,1,5
6,0.75,54,3,502.3333333,1,5
3,0.75,0,1,572,0,5
31,0.794871795,925,3,3374.333333,1,5
22,1,0,1,628,0,5
7,1,0,1,271,0,5
11,0.647058824,511,2,878,1,5
6,0.857142857,0,1,933,0,5
2,1,0,1,330,0,5
5,0.625,0,1,326,0,5
12,0.75,0,1,676,0,5
12,0.923076923,0,1,984,0,5
37,0.637931034,797,11,684.7272727,1,5
10,0.833333333,2169,2,1353,1,5
79,0.473053892,924,6,889.6666667,1,5
0,0,0,1,282,0,5
15,0.789473684,2062,3,670.6666667,1,5
11,0.846153846,0,1,256,0,5
1,1,0,1,311,0,5
5,0.555555556,0,1,493,0,5
1,1,0,1,256,0,5
